area,months_ahead,month_label,predicted_crimes,ci_lower,ci_upper
"Bristol, City of",1,2025-01,6762.9,5868.7,7657.1
"Bristol, City of",2,2025-02,6890.2,5948.6,7831.8
"Bristol, City of",3,2025-03,7017.5,6025.3,8009.8
Cardiff,1,2025-01,3830.5,2865.2,4795.7
Cardiff,2,2025-02,3836.4,2819.9,4852.8
Cardiff,3,2025-03,3842.3,2771.2,4913.4
Cornwall,1,2025-01,3507.7,2749.1,4266.3
Cornwall,2,2025-02,3559.1,2760.3,4357.9
Cornwall,3,2025-03,3610.5,2768.8,4452.3
County Durham,1,2025-01,5574.3,4890.8,6257.8
County Durham,2,2025-02,5637.0,4917.2,6356.7
County Durham,3,2025-03,5699.6,4941.2,6458.0
Coventry,1,2025-01,3587.3,2961.9,4212.7
Coventry,2,2025-02,3603.2,2944.7,4261.8
Coventry,3,2025-03,3619.2,2925.2,4313.1
Exeter,1,2025-01,1443.7,1075.9,1811.5
Exeter,2,2025-02,1463.9,1076.6,1851.2
Exeter,3,2025-03,1484.0,1075.9,1892.1
"Herefordshire, County of",1,2025-01,1039.5,841.4,1237.7
"Herefordshire, County of",2,2025-02,1040.0,831.3,1248.6
"Herefordshire, County of",3,2025-03,1040.4,820.5,1260.2
Leeds,1,2025-01,10306.8,8605.3,12008.4
Leeds,2,2025-02,10424.6,8632.8,12216.4
Leeds,3,2025-03,10542.3,8654.2,12430.5
Leicester,1,2025-01,4561.4,4196.5,4926.4
Leicester,2,2025-02,4610.9,4226.6,4995.1
Leicester,3,2025-03,4660.3,4255.3,5065.2
Newcastle upon Tyne,1,2025-01,4159.3,3528.2,4790.4
Newcastle upon Tyne,2,2025-02,4191.0,3526.5,4855.6
Newcastle upon Tyne,3,2025-03,4222.8,3522.5,4923.1
North Yorkshire,1,2025-01,4007.7,3282.7,4732.6
North Yorkshire,2,2025-02,4059.4,3296.0,4822.8
North Yorkshire,3,2025-03,4111.2,3306.8,4915.7
Norwich,1,2025-01,1652.3,1461.4,1843.2
Norwich,2,2025-02,1666.6,1465.6,1867.7
Norwich,3,2025-03,1681.0,1469.1,1892.8
Sheffield,1,2025-01,5932.6,5220.2,6645.1
Sheffield,2,2025-02,5968.0,5217.8,6718.2
Sheffield,3,2025-03,6003.3,5212.8,6793.9
Swansea,1,2025-01,1874.0,1539.5,2208.5
Swansea,2,2025-02,1866.3,1514.1,2218.5
Swansea,3,2025-03,1858.7,1487.5,2229.8
Wiltshire,1,2025-01,2975.5,2589.1,3361.8
Wiltshire,2,2025-02,3020.8,2614.0,3427.7
Wiltshire,3,2025-03,3066.2,2637.6,3494.9
